Station_ID,Connector_Type,Max_Power_kW
ST0001,CCS1,50
ST0002,Type2,22
ST0003,GB/T,60
ST0004,Type2,11
ST0005,CHAdeMO,30
ST0006,CCS2,150
ST0007,GB/T,25
ST0008,Type2,22
ST0009,CCS1,60
ST0010,CCS2,120
ST0011,GB/T,
ST0012,CCS1,100
ST0013,CHAdeMO,50
ST0014,CHAdeMO,50
ST0015,Type2,22
ST0016,Type2,22
ST0017,CCS1,50
ST0018,Type2,22
ST0019,CCS2,120
ST0020,CCS2,150
ST0020,CCS2,150
ST0021,GB/T,25
ST0022,GB/T,25
ST0023,CCS1,60
ST0024,CHAdeMO,30
ST0025,CHAdeMO,30
ST0026,Type2,11
ST0027,Type2,11
ST0028,CCS1,50
ST0029,GB/T,60
ST0030,CCS2,150
ST0030,CCS2,150
ST0041,CCS1,abc
ST0051,CCS2,9999
ST0051,CCS2,9999
ST0060,Type2,22
ST0061,USB-C,60
ST0070,CCS2,150
ST0071,Type2,22
ST0080,CCS1,50
ST0082,CHAdeMO,30
ST0085,Type2,
ST0086,Type2,22
ST0086,Type2,22
ST0090,CCS2,120
ST0092,CHAdeMO,30
ST0095,CCS1,60
ST0096,CCS1,
ST0099,CHAdeMO,30
ST0100,Type2,22
